2	4027896.91549  307001.83652 4919516.44862	23.55323
3	4027896.84623  307001.86588 4919516.40428	23.47851
4	4027897.19463  307001.93235 4919516.64423	23.89493
5	4027897.30774  307001.91588 4919516.51467	23.87299
6	4027897.08789  307001.82427 4919516.35078	23.59415
7	4027897.01825  307001.78324 4919516.25595	23.47286
8	4027896.99890  307001.80737 4919516.17348	23.40259
9	4027897.06181  307001.80871 4919516.20157	23.46544
10	4027897.08060  307001.82447 4919516.28011	23.53751
11	4027897.06783  307001.87089 4919516.28314	23.53722
12	4027896.99918  307001.86608 4919516.19252	23.42435
13	4027896.90805  307001.84762 4919516.07741	23.27675
14	4027896.89790  307001.85420 4919516.01814	23.22748
15	4027896.84489  307001.84532 4919515.95446	23.14427
16	4027896.83585  307001.82808 4919515.91469	23.10689
17	4027896.73279  307001.80287 4919515.77268	22.93080
18	4027896.71169  307001.74201 4919515.73718	22.88281
19	4027896.72580  307001.74789 4919515.74717	22.90033
20	4027896.66371  307001.73186 4919515.66124	22.79388
21	4027896.58538  307001.71648 4919515.56570	22.66959
22	4027896.58277  307001.75387 4919515.47294	22.60518
23	4027896.56732  307001.75393 4919515.39135	22.53552
24	4027896.46034  307001.71378 4919515.21463	22.32981
25	4027896.44142  307001.69622 4919515.18621	22.29413
26	4027896.41591  307001.67974 4919515.13761	22.23952
27	4027896.43726  307001.65646 4919515.10201	22.22525
28	4027896.45407  307001.63723 4919515.05910	22.20324
29	4027896.48367  307001.62966 4919515.03710	22.20658
30	4027896.48714  307001.61857 4919514.99057	22.17404
31	4027896.48393  307001.61521 4919514.91599	22.11784
32	4027896.49296  307001.60853 4919514.87534	22.09403
33	4027896.48637  307001.61242 4919514.84018	22.06482
34	4027896.46160  307001.58265 4919514.78392	22.00376
35	4027896.42767  307001.56394 4919514.71112	21.92601
36	4027896.40528  307001.55162 4919514.66297	21.87465
37	4027896.37643  307001.53570 4919514.60049	21.80818
38	4027896.35727  307001.52482 4919514.56666	21.76946
39	4027896.31906  307001.50556 4919514.49379	21.68874
40	4027896.32055  307001.50329 4919514.47047	21.67288
41	4027896.29540  307001.48784 4919514.41104	21.61129
42	4027896.27509  307001.47151 4919514.35609	21.55613
43	4027896.24547  307001.46359 4919514.30735	21.50001
44	4027896.23165  307001.46434 4919514.26316	21.45916
45	4027896.20204  307001.45497 4919514.21099	21.40046
46	4027896.16385  307001.43501 4919514.13141	21.31507
47	4027896.12098  307001.42737 4919514.06257	21.23559
48	4027896.08818  307001.42724 4919514.00740	21.17374
49	4027896.04458  307001.41110 4919513.92617	21.08398
50	4027895.98418  307001.39946 4919513.81961	20.96521
51	4027895.94337  307001.39654 4919513.75063	20.88775
52	4027895.90009  307001.38600 4919513.69253	20.81527
53	4027895.87169  307001.37809 4919513.63538	20.75421
54	4027895.82205  307001.36853 4919513.55927	20.66476
55	4027895.75694  307001.35151 4919513.46335	20.54965
56	4027895.72349  307001.33447 4919513.39382	20.47529
57	4027895.66092  307001.32093 4919513.28607	20.35417
58	4027895.61951  307001.30955 4919513.22644	20.28190
59	4027895.55879  307001.29136 4919513.12912	20.16886
60	4027895.51931  307001.27542 4919513.04215	20.07834
61	4027895.46882  307001.26064 4919512.96554	19.98746
62	4027895.40187  307001.23785 4919512.88395	19.88050
63	4027895.34293  307001.21267 4919512.79854	19.77627
64	4027895.29591  307001.19750 4919512.72658	19.69109
65	4027895.25637  307001.18310 4919512.65056	19.60850
66	4027895.19968  307001.16628 4919512.56084	19.50398
67	4027895.14853  307001.15122 4919512.50062	19.42407
68	4027895.11550  307001.14158 4919512.44419	19.36033
69	4027895.06367  307001.12995 4919512.36590	19.26787
70	4027895.00598  307001.11798 4919512.28323	19.16818
71	4027894.94469  307001.10228 4919512.20470	19.06834
72	4027894.88923  307001.08658 4919512.12731	18.97348
