1	4027895.82563  307001.89375 4919519.66489
2	4027894.60136  307001.59228 4919517.57753
3	4027894.67022  307001.63654 4919517.83592
4	4027895.85971  307001.87844 4919518.38571
5	4027895.64910  307001.66596 4919517.31569
6	4027893.57180  307001.19386 4919516.66705
7	4027894.30874  307001.46793 4919516.56363
8	4027895.31196  307001.68388 4919516.95747
9	4027894.14260  307001.71670 4919516.35295
10	4027893.45121  307001.99103 4919516.42868
11	4027894.17322  307002.15881 4919516.37911
12	4027893.29132  307001.73455 4919515.15655
13	4027893.54825  307001.45763 4919515.05202
14	4027894.49400  307001.70163 4919515.71346
15	4027892.75221  307001.73947 4919514.32134
16	4027893.32999  307001.50048 4919514.70160
17	4027892.20158  307001.27382 4919513.18525
18	4027893.99964  307000.47271 4919515.07038
19	4027892.74037  307001.79115 4919514.42713
20	4027892.00355  307001.39600 4919512.94451
21	4027892.27648  307001.25681 4919512.71752
22	4027893.54181  307002.49142 4919512.36018
23	4027893.51177  307001.79602 4919512.54504
24	4027891.53419  307000.70987 4919510.15156
25	4027891.87430  307001.24047 4919512.36190
26	4027892.35583  307001.34172 4919512.22204
27	4027897.72946  307000.51116 4919515.69347
28	4027898.41553  307000.40993 4919516.28941
29	4027897.53851  307000.89364 4919515.46696
30	4027896.90060  307000.82207 4919514.64303
31	4027897.72533  307001.00725 4919514.14285
32	4027897.64970  307000.74416 4919515.37609
33	4027896.90364  307001.36533 4919514.40687
34	4027896.02934  307000.02537 4919513.68090
35	4027896.63579  307000.36437 4919513.50805
36	4027895.62813  307000.73647 4919513.29797
37	4027894.84046  307000.79306 4919511.73562
38	4027895.82741  307000.74951 4919513.01905
39	4027895.96068  307000.34618 4919512.33687
40	4027895.85394  307001.23070 4919511.79849
41	4027895.02835  307000.60453 4919511.33027
42	4027895.17277  307000.55909 4919510.81712
43	4027895.18560  307000.76316 4919511.96990
44	4027894.98440  307001.41776 4919510.65825
45	4027894.75874  307000.86270 4919511.03414
46	4027895.08607  307000.30220 4919510.05176
47	4027891.19990  307001.27325 4919506.64032
48	4027892.16644  307001.60804 4919508.10131
49	4027891.13443  307000.75079 4919505.90302
50	4027890.47264  307001.17715 4919504.88161
51	4027891.31562  307001.50767 4919506.50381
52	4027891.04958  307001.14911 4919506.80020
53	4027891.97205  307001.37556 4919506.77085
54	4027890.55389  307001.12445 4919505.09169
55	4027889.34997  307000.90378 4919502.99411
56	4027891.50517  307000.62152 4919505.30981
57	4027889.82286  307001.05670 4919503.05454
58	4027891.23943  307000.96198 4919506.76271
59	4027889.75026  307000.77087 4919503.57308
60	4027890.86267  307000.89109 4919503.08947
61	4027890.06298  307000.98036 4919504.00445
62	4027889.04783  307000.26001 4919503.98593
