2	4027896.98064  307002.11971 4919517.11697	24.13098
3	4027889.27899  307001.89855 4919507.93656	12.31828
4	4027894.27771  307001.95548 4919513.72738	19.82341
5	4027893.93596  307001.96964 4919513.13236	19.16279
6	4027894.73984  307001.94441 4919513.84453	20.21193
7	4027894.84954  307001.86731 4919514.03414	20.41182
8	4027895.09186  307001.83627 4919514.25571	20.73041
9	4027895.28400  307001.85411 4919514.40552	20.97046
10	4027895.50784  307001.84774 4919514.60995	21.26819
11	4027895.65680  307001.85836 4919514.81940	21.52226
12	4027895.76027  307001.89616 4919514.93599	21.68194
13	4027895.79741  307001.88639 4919514.95598	21.71990
14	4027895.80272  307001.86844 4919514.94406	21.71215
15	4027895.87147  307001.87415 4919514.97136	21.77877
16	4027895.88578  307001.86412 4919514.98064	21.79369
17	4027895.93617  307001.84731 4919515.00420	21.84220
18	4027895.88927  307001.82345 4919514.92352	21.74858
19	4027895.91886  307001.76619 4919514.94242	21.77429
20	4027895.97218  307001.77336 4919514.99331	21.84812
21	4027895.94835  307001.75654 4919514.94747	21.79642
22	4027895.90913  307001.74156 4919514.89346	21.72869
23	4027895.93904  307001.77665 4919514.83847	21.71350
24	4027895.95119  307001.77430 4919514.79111	21.68694
25	4027895.87422  307001.73521 4919514.64951	21.52693
26	4027895.88276  307001.71910 4919514.65139	21.53186
27	4027895.87952  307001.70302 4919514.62572	21.50890
28	4027895.92015  307001.68035 4919514.61187	21.52331
29	4027895.95352  307001.66180 4919514.58904	21.52696
30	4027895.99832  307001.65431 4919514.58536	21.55375
31	4027896.01654  307001.64307 4919514.55610	21.54356
32	4027896.02818  307001.63942 4919514.49940	21.51024
33	4027896.05104  307001.63240 4919514.47542	21.50772
34	4027896.05754  307001.63571 4919514.45476	21.49779
35	4027896.04621  307001.60616 4919514.41262	21.45594
36	4027896.02566  307001.58821 4919514.35430	21.39774
37	4027896.01588  307001.57614 4919514.31964	21.36466
38	4027895.99884  307001.56039 4919514.26960	21.31514
39	4027895.99083  307001.54965 4919514.24729	21.29231
40	4027895.96345  307001.53061 4919514.18553	21.22692
41	4027895.97471  307001.52831 4919514.17264	21.22518
42	4027895.95859  307001.51278 4919514.12269	21.17648
43	4027895.94743  307001.49671 4919514.07763	21.13465
44	4027895.92665  307001.48886 4919514.03811	21.09118
45	4027895.92108  307001.48927 4919514.00244	21.06202
46	4027895.89946  307001.47967 4919513.95850	21.01463
47	4027895.87475  307001.45777 4919513.88690	20.94392
48	4027895.83705  307001.45124 4919513.82668	20.87426
49	4027895.81170  307001.45074 4919513.77895	20.82280
50	4027895.77058  307001.43619 4919513.70526	20.74023
51	4027895.72692  307001.42138 4919513.60681	20.63840
52	4027895.68774  307001.42026 4919513.54560	20.56777
53	4027895.65923  307001.40691 4919513.49435	20.51004
54	4027895.62911  307001.40151 4919513.44294	20.45212
55	4027895.58631  307001.39166 4919513.37309	20.37179
56	4027895.53008  307001.37408 4919513.28414	20.26768
57	4027895.49443  307001.35977 4919513.22014	20.19594
58	4027895.44776  307001.34343 4919513.11998	20.09088
59	4027895.40782  307001.33345 4919513.06592	20.02370
60	4027895.35237  307001.31550 4919512.97416	19.91823
61	4027895.31773  307001.29994 4919512.89307	19.83521
62	4027895.27234  307001.28537 4919512.82193	19.75172
63	4027895.21915  307001.26077 4919512.74727	19.65904
64	4027895.15315  307001.23917 4919512.66444	19.55200
65	4027895.11680  307001.22288 4919512.59873	19.47851
66	4027895.07962  307001.20909 4919512.52678	19.40045
67	4027895.02636  307001.19271 4919512.44153	19.30146
68	4027894.98042  307001.17772 4919512.38593	19.22843
69	4027894.95106  307001.16819 4919512.33315	19.16981
70	4027894.90687  307001.15578 4919512.25982	19.08607
71	4027894.85041  307001.14451 4919512.18047	18.98961
72	4027894.79372  307001.12889 4919512.10616	18.89595
73	4027894.74047  307001.11375 4919512.03210	18.80497
74	4027894.68242  307001.09777 4919511.95790	18.71039
75	4027894.62794  307001.08179 4919511.89165	18.62386
76	4027894.58477  307001.07243 4919511.81836	18.54136
77	4027894.53791  307001.06063 4919511.75659	18.46388
78	4027894.48239  307001.04545 4919511.67083	18.36331
79	4027894.43740  307001.02942 4919511.59796	18.27904
80	4027894.40994  307001.02203 4919511.53265	18.21364
81	4027894.37378  307001.00703 4919511.47913	18.14916
82	4027894.33253  307000.99277 4919511.43042	18.08443
83	4027894.29633  307000.98722 4919511.37359	18.01883
84	4027894.27138  307000.98527 4919511.34162	17.97878
85	4027894.22668  307000.97810 4919511.28315	17.90577
86	4027894.20459  307000.97556 4919511.24895	17.86619
87	4027894.17682  307000.97297 4919511.22055	17.82648
88	4027894.15042  307000.97046 4919511.18408	17.78225
89	4027894.11670  307000.96787 4919511.13961	17.72729
90	4027894.09166  307000.96051 4919511.10396	17.68402
91	4027894.06471  307000.95576 4919511.05673	17.63180
92	4027894.04407  307000.94855 4919511.02344	17.59334
93	4027894.01450  307000.94356 4919510.98494	17.54517
94	4027893.99092  307000.94857 4919510.95022	17.50513
95	4027893.94496  307000.93830 4919510.90065	17.43693
96	4027893.89873  307000.92731 4919510.85562	17.37154
97	4027893.85513  307000.91906 4919510.81774	17.31325
98	4027893.82137  307000.91492 4919510.78281	17.26459
99	4027893.79226  307000.91231 4919510.75113	17.22168
100	4027893.73846  307000.89165 4919510.69925	17.14498
101	4027893.68468  307000.87301 4919510.65092	17.07095
102	4027893.63238  307000.85764 4919510.59710	16.99468
103	4027893.58839  307000.83886 4919510.55516	16.93207
104	4027893.54077  307000.82151 4919510.51191	16.86613
